"Grid_ID","fips","row","col","Datetime_UTC","Datetime_local","Date_local","EATM_radar_ref","SFC_visibility","SFC_wind_gust","MSL","SFC_pressure","SFC_geoheight","SFC_tempC","DBLL_moisture","HTGL2_tempC","HTGL2_dew_tempC","HTGL2_humidity","HTGL10_uwind","HTGL10_vwind","HTGL10_wind_speed","SFC_roughness","SFC_velocity","SFC_sensible_heat","SFC_latent_heat","SFC_ground_heat","EATM_cloud_cover","SFC_beam_solar","SFC_diffuse_solar","SFC_PBLH","EHLT_geoheight","Down_short_r","Down_long_r","Up_short_r","HR01_total_preci"
188741,23003,105,1645,2019-01-01 02:00:00,"2018-12-31 21:00","2018-12-31",-10,18200,6.29777383804321,102103,100150,158.995254516602,-10.21787109375,-6.94748535156248,-9.46271362304685,74.4000015258789,-2.60580444335938,1.94254684448242,3.25363111495972,0.0429999977350235,0.119999997317791,-20,-4,10,100,0,0,40.9279098510742,178.13395690918,0,229.800003051758,0,265.623107910156,0
190973,53033,107,279,2019-01-01 02:00:00,"2018-12-31 18:00","2018-12-31",-10,15400,1.36027383804321,103252,102520,60.5890045166016,0.469628906250023,1.36501464843752,0.537286376953148,84.3000030517578,-1.04330444335938,-0.119953155517578,1.06613099575043,0.363099992275238,0.0299999993294477,0,0,70,0,0,0,70.0529098510742,80.6339569091797,0,231.600006103516,0,279.748107910156,0
192772,53033,108,279,2019-01-01 02:00:00,"2018-12-31 18:00","2018-12-31",-10,15500,1.36027383804321,103249,102530,60.3077545166016,0.407128906250023,1.30251464843752,0.474786376953148,83.7000045776367,-0.855804443359375,-0.307453155517578,0.941130995750427,0.480499982833862,0.0199999995529652,0,0,70,0,0,0,74.7404098510742,80.1339569091797,0,231.900009155273,0,279.373107910156,0
212554,53053,119,272,2019-01-01 02:00:00,"2018-12-31 18:00","2018-12-31",-10,16400,0.797773897647858,103235,102210,83.5577545166016,1.03212890625002,1.67751464843752,0.599786376953148,84.5,-0.230804443359375,-0.307453155517578,0.44113102555275,0.5,0.00999999977648258,0,0,60,0,0,0,76.6154098510742,103.63395690918,0,235.699996948242,0,281.873107910156,0
267030,38013,149,778,2019-01-01 02:00:00,"2018-12-31 20:00","2018-12-31",-10,25700,6.67277383804321,103625,94770,701.838989257812,-27.3428558349609,-24.5724853515625,-29.4002136230469,56.6000022888184,2.64419555664062,-0.869953155517578,2.81613111495972,0.0247999988496304,0.0799999982118607,-10,-1,30,0,0,0,76.2404098510742,719.633972167969,0,141.199996948242,0,199.623107910156,0
268692,30071,150,641,2019-01-01 02:00:00,"2018-12-31 19:00","2018-12-31",-10,24500,2.23527383804321,103606,93990,768.088989257812,-19.2178558349609,-18.0724853515625,-21.2752136230469,66.9000015258789,-1.66830444335938,1.44254684448242,2.19113111495972,0.0461999997496605,0.0499999970197678,0,0,60,0,0,0,105.677909851074,786.633972167969,0,161.199996948242,0,217.373107910156,0
311946,30083,174,719,2019-01-01 02:00:00,"2018-12-31 19:00","2018-12-31",-10,25100,1.48527383804321,103771,94630,725.026489257812,-19.4053558349609,-19.0099853515625,-23.1502136230469,66.4000015258789,0.144195556640625,-0.494953155517578,0.503630995750427,0.0461999997496605,0.00999999977648258,0,0,80,0,0,0,91.1779098510742,743.133972167969,0,151,0,217.248107910156,0
315623,38101,176,798,2019-01-01 02:00:00,"2018-12-31 20:00","2018-12-31",-10,22700,6.86027383804321,103552,95400,647.370239257812,-26.2178558349609,-25.3849853515625,-29.0877136230469,70.3000030517578,3.26919555664062,-3.61995315551758,4.87863111495972,0.0242999996989965,0.299999982118607,-10,0,40,0,0,0,75.8654098510742,665.133972167969,0,139.900009155273,0,202.498107910156,0
324071,41051,181,251,2019-01-01 02:00:00,"2018-12-31 18:00","2018-12-31",-10,14100,1.79777383804321,103106,102140,80.4327545166016,1.59462890625002,2.05251464843752,1.34978637695315,89.7000045776367,-0.355804443359375,-0.932453155517578,1.00363099575043,0.508199989795685,0.0299999993294477,0,0,60,0,0,0,47.7404098510742,100.13395690918,0,240.600006103516,0,284.248107910156,0
327664,41067,183,246,2019-01-01 02:00:00,"2018-12-31 18:00","2018-12-31",-10,17500,2.04777383804321,103103,102360,62.1827545166016,2.03212890625002,2.67751464843752,1.16228637695315,82.5,-0.043304443359375,-0.869953155517578,0.878630995750427,0.544399976730347,0.0199999995529652,0,0,70,0,0,0,57.3029098510742,82.1339569091797,0,242.5,0,286.248107910156,0
