"Grid_ID","fips","row","col","Datetime_UTC","Datetime_local","Date_local","EATM_radar_ref","SFC_visibility","SFC_wind_gust","MSL","SFC_pressure","SFC_geoheight","SFC_tempC","DBLL_moisture","HTGL2_tempC","HTGL2_dew_tempC","HTGL2_humidity","HTGL10_uwind","HTGL10_vwind","HTGL10_wind_speed","SFC_roughness","SFC_velocity","SFC_sensible_heat","SFC_latent_heat","SFC_ground_heat","EATM_cloud_cover","SFC_beam_solar","SFC_diffuse_solar","SFC_PBLH","EHLT_geoheight","Down_short_r","Down_long_r","Up_short_r","HR01_total_preci"
188741,23003,105,1645,2019-01-01 06:00:00,"2019-01-01 01:00","2019-01-01",14.0625,12200,8.73125839233398,101373,99440,158.995254516602,-4.22806396484373,-3.58585205078123,-5.71701660156248,84.3000030517578,-3.30856895446777,3.24284172058105,4.62699699401855,0.0429999977350235,0.310000002384186,-11,6,0,100,0,0,144.103973388672,178.190612792969,0,301.700012207031,0,290.649780273438,0.24600000679493
190973,53033,107,279,2019-01-01 06:00:00,"2018-12-31 22:00","2018-12-31",-10,12200,2.48125791549683,103106,102390,60.5890045166016,-0.228063964843727,0.289147949218773,0.0954833984375227,95.0999984741211,-1.12106895446777,1.74284172058105,2.06449699401855,0.363099992275238,0.0999999940395355,-7,-3,30,100,0,0,58.7914772033691,80.1906204223633,0,239.400009155273,0,276.899780273438,0
192772,53033,108,279,2019-01-01 06:00:00,"2018-12-31 22:00","2018-12-31",-10,12200,2.23125791549683,103102,102390,60.3077545166016,-0.353063964843727,0.101647949218773,-0.154516601562477,94.8000030517578,-0.746068954467773,1.68034172058105,1.81449711322784,0.480499982833862,0.0799999982118607,-4,-2,40,100,0,0,57.2914772033691,80.1906204223633,0,243.699996948242,0,276.399780273438,0
212554,53053,119,272,2019-01-01 06:00:00,"2018-12-31 22:00","2018-12-31",-10,15500,1.54375803470612,103082,102070,83.5577545166016,-0.415563964843727,-0.210852050781227,-1.71701660156248,88.4000015258789,0.253931045532227,1.55534172058105,1.56449711322784,0.5,0.0799999982118607,-3,5,50,100,0,0,42.8539772033691,103.190620422363,0,238.600006103516,0,276.149780273438,0
267030,38013,149,778,2019-01-01 06:00:00,"2019-01-01 00:00","2019-01-01",-10,21200,4.54375791549683,103504,94660,701.838989257812,-24.8530639648437,-20.9608673095703,-25.5295013427734,58.6000022888184,3.44143104553223,1.18034172058105,3.62699699401855,0.0247999988496304,0.129999995231628,-26,-3,30,0,0,0,37.5414772033691,720.190612792969,0,151.199996948242,0,207.774765014648,0
268692,30071,150,641,2019-01-01 06:00:00,"2018-12-31 23:00","2018-12-31",-10,17700,7.54375791549683,103198,93660,768.088989257812,-18.4780639648437,-17.5233673095703,-19.7795013427734,79.9000015258789,-0.746068954467773,4.74284172058105,4.81449699401855,0.0461999997496605,0.239999994635582,-27,-3,40,0,0,0,65.2914733886719,786.190612792969,0,163.100006103516,0,220.149765014648,0
311946,30083,174,719,2019-01-01 06:00:00,"2018-12-31 23:00","2018-12-31",-10,30900,3.66875791549683,103572,94460,725.026489257812,-21.1030639648437,-20.6483673095703,-26.4045013427734,57.7999992370605,0.566431045532227,1.68034172058105,1.81449711322784,0.0461999997496605,0.0599999986588955,-3,0,60,0,0,0,36.6664772033691,743.190612792969,0,152.400009155273,0,211.524765014648,0
315623,38101,176,798,2019-01-01 06:00:00,"2019-01-01 00:00","2019-01-01",-10,19900,4.41875791549683,103500,95340,647.370239257812,-24.4155639648437,-22.5858673095703,-25.9670013427734,70.9000015258789,2.81643104553223,0.117841720581055,2.81449699401855,0.0242999996989965,0.129999995231628,-13,-1,40,0,0,0,30.6039772033691,665.190612792969,0,155.5,0,208.274765014648,0
324071,41051,181,251,2019-01-01 06:00:00,"2018-12-31 22:00","2018-12-31",-10,12200,2.48125791549683,102982,102040,80.4327545166016,-0.353063964843727,-0.273352050781227,-0.717016601562477,95.7000045776367,-0.621068954467773,-1.19465827941895,1.31449711322784,0.508199989795685,0.0700000002980232,-2,1,60,83.5,0,0,49.0414772033691,100.190620422363,0,235.400009155273,0,276.274780273438,0
327664,41067,183,246,2019-01-01 06:00:00,"2018-12-31 22:00","2018-12-31",-10,13700,2.48125791549683,102987,102260,62.1827545166016,-0.353063964843727,0.101647949218773,-0.467016601562477,90.2000045776367,-0.0585689544677734,-1.25715827941895,1.25199711322784,0.544399976730347,0.0299999993294477,-2,0,70,62.375,0,0,41.0414772033691,82.1906204223633,0,237.699996948242,0,276.274780273438,0
335367,38053,187,753,2019-01-01 06:00:00,"2019-01-01 00:00","2019-01-01",-10,23900,2.16875791549683,103601,95860,617.213989257812,-23.9155639648437,-22.9608673095703,-26.1545013427734,67.3000030517578,0.941431045532227,0.430341720581055,1.00199711322784,0.0461999997496605,0.0199999995529652,-2,0,60,0,0,0,43.6664772033691,635.190612792969,0,146.5,0,202.399765014648,0
