"Grid_ID","fips","row","col","Datetime_UTC","Datetime_local","Date_local","EATM_radar_ref","SFC_visibility","SFC_wind_gust","MSL","SFC_pressure","SFC_geoheight","SFC_tempC","DBLL_moisture","HTGL2_tempC","HTGL2_dew_tempC","HTGL2_humidity","HTGL10_uwind","HTGL10_vwind","HTGL10_wind_speed","SFC_roughness","SFC_velocity","SFC_sensible_heat","SFC_latent_heat","SFC_ground_heat","EATM_cloud_cover","SFC_beam_solar","SFC_diffuse_solar","SFC_PBLH","EHLT_geoheight","Down_short_r","Down_long_r","Up_short_r","HR01_total_preci"
188741,23003,105,1645,2019-01-01 01:00:00,"2018-12-31 20:00","2018-12-31",-10,18400,5.96019887924194,102292,100340,158.995254516602,-9.81546630859373,-7.44412841796873,-9.77521362304685,73.5,-2.12374877929688,1.37457466125488,2.56708765029907,0.0429999977350235,0.0700000002980232,-7,-1,10,9.75,0,0,61.724910736084,178.24250793457,0,212.699996948242,0,267.11328125,0
190973,53033,107,279,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,18400,1.77269876003265,103273,102540,60.5890045166016,1.55953369140627,2.43087158203127,1.03728637695315,80.0999984741211,0.001251220703125,-0.562925338745117,0.567087769508362,0.363099992275238,0.00999999977648258,-1,0,70,0,0,0,279.037414550781,80.7425079345703,0,238.199996948242,0,284.23828125,0
192772,53033,108,279,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,18000,1.77269876003265,103271,102540,60.3077545166016,1.43453369140627,2.43087158203127,1.22478637695315,81,0.188751220703125,-0.687925338745117,0.692087769508362,0.480499982833862,0.0199999995529652,-2,0,60,0,0,0,288.849914550781,80.2425079345703,0,238.600006103516,0,283.73828125,0
212554,53053,119,272,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,17100,0.960198819637299,103258,102240,83.5577545166016,2.12203369140627,2.80587158203127,1.59978637695315,83.3000030517578,-0.186248779296875,-0.375425338745117,0.442087769508362,0.5,0.00999999977648258,-1,0,60,0,0,0,403.724914550781,103.74250793457,0,240.100006103516,0,286.48828125,0
267030,38013,149,778,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,26300,6.71019887924194,103629,94780,701.838989257812,-26.8779815673828,-24.5066131591797,-29.2752136230469,60.7000007629395,2.75125122070312,-1.18792533874512,3.00458765029907,0.0247999988496304,0.119999997317791,-15,0,40,0,0,0,75.2249069213867,719.742492675781,0,140,0,200.988296508789,0
268692,30071,150,641,2019-01-01 01:00:00,"2018-12-31 18:00","2018-12-31",-10,23700,1.83519876003265,103665,94030,768.088989257812,-18.8154815673828,-17.7566131591797,-20.7752136230469,68.3000030517578,-1.49874877929688,1.06207466125488,1.81708776950836,0.0461999997496605,0.0399999991059303,-4,0,70,0,0,0,190.412414550781,786.742492675781,0,159.600006103516,0,218.863296508789,0
311946,30083,174,719,2019-01-01 01:00:00,"2018-12-31 18:00","2018-12-31",-10,24400,3.39769887924194,103762,94630,725.026489257812,-18.6904815673828,-18.1316131591797,-22.3377136230469,67.2000045776367,0.751251220703125,-2.12542533874512,2.25458765029907,0.0461999997496605,0.0799999982118607,-6,0,80,0,0,0,155.037414550781,743.242492675781,0,151.900009155273,0,219.738296508789,0
315623,38101,176,798,2019-01-01 01:00:00,"2018-12-31 19:00","2018-12-31",-10,23400,6.64769887924194,103531,95390,647.370239257812,-25.3779815673828,-24.6316131591797,-28.4627136230469,69.5999984741211,3.18875122070312,-3.31292533874512,4.62958765029907,0.0242999996989965,0.28999999165535,-13,0,40,0,0,0,75.8499069213867,665.242492675781,0,140.699996948242,0,205.113296508789,0
324071,41051,181,251,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,15300,2.96019887924194,103107,102140,80.4327545166016,2.55953369140627,3.11837158203127,2.09978637695315,86.9000015258789,0.376251220703125,-1.50042533874512,1.56708776950836,0.508199989795685,0.0399999991059303,-2,0,60,0,0,0,128.537414550781,100.24250793457,0,240.699996948242,0,288.23828125,0
327664,41067,183,246,2019-01-01 01:00:00,"2018-12-31 17:00","2018-12-31",-10,19500,2.77269887924194,103104,102350,62.1827545166016,3.12203369140627,3.68087158203127,1.53728637695315,79.8000030517578,0.688751220703125,-1.50042533874512,1.69208776950836,0.544399976730347,0.0399999991059303,-2,1,70,0,0,0,153.162414550781,82.2425079345703,0,241.900009155273,0,290.61328125,0
